date,pair,cot_index,signal
2025-06-06,EURUSD,89,Neutral
2025-06-06,GBPUSD,8,Bullish
2025-06-06,USDJPY,48,Bearish
2025-06-06,AUDUSD,36,Bullish
2025-06-06,USDCAD,4,Bullish
2025-06-06,USDCHF,80,Neutral
2025-06-13,EURUSD,83,Bearish
2025-06-13,GBPUSD,65,Neutral
2025-06-13,USDJPY,3,Bearish
2025-06-13,AUDUSD,55,Bearish
2025-06-13,USDCAD,53,Bearish
2025-06-13,USDCHF,45,Bullish
2025-06-20,EURUSD,80,Bearish
2025-06-20,GBPUSD,16,Bullish
2025-06-20,USDJPY,3,Bearish
2025-06-20,AUDUSD,39,Neutral
2025-06-20,USDCAD,40,Bullish
2025-06-20,USDCHF,5,Bullish
2025-06-27,EURUSD,88,Neutral
2025-06-27,GBPUSD,53,Bullish
2025-06-27,USDJPY,0,Bullish
2025-06-27,AUDUSD,69,Bearish
2025-06-27,USDCAD,91,Neutral
2025-06-27,USDCHF,82,Neutral
2025-07-04,EURUSD,12,Neutral
2025-07-04,GBPUSD,100,Bearish
2025-07-04,USDJPY,99,Bullish
2025-07-04,AUDUSD,33,Bearish
2025-07-04,USDCAD,43,Bullish
2025-07-04,USDCHF,6,Neutral
2025-07-11,EURUSD,63,Bullish
2025-07-11,GBPUSD,34,Bullish
2025-07-11,USDJPY,34,Neutral
2025-07-11,AUDUSD,10,Bullish
2025-07-11,USDCAD,80,Bearish
2025-07-11,USDCHF,64,Bearish
2025-07-18,EURUSD,33,Neutral
2025-07-18,GBPUSD,78,Neutral
2025-07-18,USDJPY,7,Bearish
2025-07-18,AUDUSD,11,Neutral
2025-07-18,USDCAD,23,Bullish
2025-07-18,USDCHF,81,Bullish
2025-07-25,EURUSD,35,Bearish
2025-07-25,GBPUSD,38,Bullish
2025-07-25,USDJPY,99,Neutral
2025-07-25,AUDUSD,56,Neutral
2025-07-25,USDCAD,85,Neutral
2025-07-25,USDCHF,74,Neutral
2025-08-01,EURUSD,53,Bearish
2025-08-01,GBPUSD,81,Bearish
2025-08-01,USDJPY,68,Neutral
2025-08-01,AUDUSD,60,Bearish
2025-08-01,USDCAD,98,Neutral
2025-08-01,USDCHF,22,Neutral
2025-08-08,EURUSD,43,Bullish
2025-08-08,GBPUSD,33,Bearish
2025-08-08,USDJPY,98,Bullish
2025-08-08,AUDUSD,98,Bearish
2025-08-08,USDCAD,67,Neutral
2025-08-08,USDCHF,38,Bullish
